n,Robustness score
10,0.20050706169991506
20,0.10119202887474935
30,0.06770033126874253
40,0.05081469276071768
50,0.04111272091093648
60,0.03456025444822546
70,0.0296896678763447
80,0.02612179139743887
90,0.023415053093405545
100,0.02122458603325533
110,0.01953425400336821
120,0.017993151945825493
130,0.016720469399807862
140,0.015628074523383096
150,0.014596211727116781
160,0.013890210783006667
170,0.01315862934531457
180,0.012529820536287064
190,0.011952987850714103
200,0.011390734233101982
210,0.010950118063763167
220,0.010554711930857167
230,0.010159493287359607
240,0.009850924327836784
250,0.00955544392137741
260,0.009311306207382674
270,0.008978355702953418
280,0.008660825947733299
290,0.008399052111682011
300,0.008287833524494845
310,0.008000216652696799
320,0.007820772151217606
330,0.007632928276639493
340,0.007411567425669228
350,0.007281350947721504
360,0.007188229294277424
370,0.007040457526386197
380,0.006930274894684681
390,0.006784261425567257
400,0.006703527219393084
410,0.006566738346233529
420,0.0064753026414692254
430,0.006340472602493501
440,0.006243295714483176
450,0.006180529933088975
460,0.006053064955220327
470,0.005947447338333693
480,0.00587537201424455
490,0.0058406743130282384
500,0.005742254684426606
510,0.005724491252440008
520,0.005646325703074948
530,0.005583431172442876
540,0.005515506670340952
550,0.005407758707809509
560,0.005367995415733811
570,0.005284426765265441
580,0.005195404475734026
590,0.005128284470324819
600,0.005050642094219128
610,0.005050642094219128
620,0.005050642094219128
630,0.005050642094219128
640,0.005050642094219128
650,0.005050642094219128
660,0.005050642094219128
670,0.005050642094219128
680,0.005050642094219128
690,0.005050642094219128
700,0.005050642094219128
710,0.005050642094219128
720,0.005050642094219128
730,0.005050642094219128
740,0.005050642094219128
750,0.005050642094219128
760,0.005050642094219128
770,0.005050642094219128
780,0.005050642094219128
790,0.005050642094219128
800,0.005050642094219128
810,0.005050642094219128
820,0.005050642094219128
830,0.005050642094219128
840,0.005050642094219128
850,0.005050642094219128
860,0.005050642094219128
870,0.005050642094219128
880,0.005050642094219128
890,0.005050642094219128
900,0.005050642094219128
910,0.005050642094219128
920,0.005050642094219128
930,0.005050642094219128
940,0.005050642094219128
950,0.005050642094219128
960,0.005050642094219128
970,0.005050642094219128
980,0.005050642094219128
990,0.005050642094219128
1000,0.005050642094219128
