n,Robustness score
10,0.20000000000000054
20,0.10621224176556857
30,0.0725801530431216
40,0.05582614636736469
50,0.04562885776370622
60,0.03844180173155515
70,0.033646818951617766
80,0.03029191518700885
90,0.028074611896740265
100,0.025719871322865434
110,0.024171221168562185
120,0.022128849420605348
130,0.021245245877964176
140,0.02087878656333267
150,0.020102783370658298
160,0.018643328266965537
170,0.017863908093666107
180,0.01740323632768798
190,0.01645704120967972
200,0.016214675515822397
210,0.015686950913993983
220,0.015569486854179077
230,0.015229819641139312
240,0.01537400987003661
250,0.015153587839690046
260,0.01477142564190793
270,0.01479746559925577
280,0.014778399575056153
290,0.014645371273757063
300,0.014288270003079733
310,0.014127032462555885
320,0.014149504353956755
330,0.01397785829882686
340,0.01341292194424087
350,0.013213651540133748
360,0.012934329172451292
370,0.01281591219577653
380,0.01277845564722405
390,0.012674903249848615
400,0.01271945458592269
410,0.012623290990957072
420,0.012548414521147175
430,0.012279153975010374
440,0.012032999694448947
450,0.011873989657971876
460,0.01189911225630353
470,0.011846124186407769
480,0.01175994631595138
490,0.012008071786974547
500,0.012172236059312145
510,0.0123138405576328
520,0.012226090894540177
530,0.012154430081618737
540,0.012128262342316955
550,0.011900595269539677
560,0.011719269193221419
570,0.011622932598129786
580,0.011465545257529703
590,0.011379044369497956
600,0.011417376506744436
610,0.011417376506744436
620,0.011417376506744436
630,0.011417376506744436
640,0.011417376506744436
650,0.011417376506744436
660,0.011417376506744436
670,0.011417376506744436
680,0.011417376506744436
690,0.011417376506744436
700,0.011417376506744436
710,0.011417376506744436
720,0.011417376506744436
730,0.011417376506744436
740,0.011417376506744436
750,0.011417376506744436
760,0.011417376506744436
770,0.011417376506744436
780,0.011417376506744436
790,0.011417376506744436
800,0.011417376506744436
810,0.011417376506744436
820,0.011417376506744436
830,0.011417376506744436
840,0.011417376506744436
850,0.011417376506744436
860,0.011417376506744436
870,0.011417376506744436
880,0.011417376506744436
890,0.011417376506744436
900,0.011417376506744436
910,0.011417376506744436
920,0.011417376506744436
930,0.011417376506744436
940,0.011417376506744436
950,0.011417376506744436
960,0.011417376506744436
970,0.011417376506744436
980,0.011417376506744436
990,0.011417376506744436
1000,0.011417376506744436
