n,Robustness score
10,0.7994929383000849
20,0.8988079711252507
30,0.9322996687312575
40,0.9491853072392823
50,0.9588872790890636
60,0.9654397455517746
70,0.9703103321236553
80,0.9738782086025611
90,0.9765849469065945
100,0.9787754139667447
110,0.9804657459966318
120,0.9820068480541745
130,0.9832795306001921
140,0.9843719254766169
150,0.9854037882728832
160,0.9861097892169933
170,0.9868413706546855
180,0.987470179463713
190,0.9880470121492859
200,0.988609265766898
210,0.9890498819362369
220,0.9894452880691428
230,0.9898405067126403
240,0.9901490756721633
250,0.9904445560786226
260,0.9906886937926174
270,0.9910216442970465
280,0.9913391740522667
290,0.991600947888318
300,0.9917121664755052
310,0.9919997833473032
320,0.9921792278487824
330,0.9923670717233605
340,0.9925884325743308
350,0.9927186490522785
360,0.9928117707057226
370,0.9929595424736138
380,0.9930697251053153
390,0.9932157385744328
400,0.993296472780607
410,0.9934332616537664
420,0.9935246973585308
430,0.9936595273975065
440,0.9937567042855169
450,0.9938194700669111
460,0.9939469350447797
470,0.9940525526616663
480,0.9941246279857554
490,0.9941593256869717
500,0.9942577453155734
510,0.99427550874756
520,0.994353674296925
530,0.9944165688275571
540,0.994484493329659
550,0.9945922412921905
560,0.9946320045842661
570,0.9947155732347346
580,0.9948045955242659
590,0.9948717155296751
600,0.9949493579057809
610,0.9949493579057809
620,0.9949493579057809
630,0.9949493579057809
640,0.9949493579057809
650,0.9949493579057809
660,0.9949493579057809
670,0.9949493579057809
680,0.9949493579057809
690,0.9949493579057809
700,0.9949493579057809
710,0.9949493579057809
720,0.9949493579057809
730,0.9949493579057809
740,0.9949493579057809
750,0.9949493579057809
760,0.9949493579057809
770,0.9949493579057809
780,0.9949493579057809
790,0.9949493579057809
800,0.9949493579057809
810,0.9949493579057809
820,0.9949493579057809
830,0.9949493579057809
840,0.9949493579057809
850,0.9949493579057809
860,0.9949493579057809
870,0.9949493579057809
880,0.9949493579057809
890,0.9949493579057809
900,0.9949493579057809
910,0.9949493579057809
920,0.9949493579057809
930,0.9949493579057809
940,0.9949493579057809
950,0.9949493579057809
960,0.9949493579057809
970,0.9949493579057809
980,0.9949493579057809
990,0.9949493579057809
1000,0.9949493579057809
