n,Robustness score
10,0.20000540093674507
20,0.10001087424879014
30,0.06672093757907721
40,0.05022704938896997
50,0.041510649739255154
60,0.035200210779378946
70,0.03929142168266863
80,0.03486664953885168
90,0.03231212033321175
100,0.03129458256956223
110,0.028876753287839885
120,0.026946247553592158
130,0.025301210601601083
140,0.024392532004570127
150,0.023123134182619284
160,0.022341995051204322
170,0.02190511689125439
180,0.0218339763895258
190,0.021164989797326318
200,0.019780927904264563
210,0.019286201071831075
220,0.019247901680766663
230,0.018692639068150697
240,0.018385265683814225
250,0.017958650621859362
260,0.017389972207313593
270,0.017001754034553562
280,0.01689620032879526
290,0.016711020502096937
300,0.016472602451028724
310,0.016019254758420646
320,0.016140105483260017
330,0.01604148160205035
340,0.015690576625301576
350,0.015753856457841425
360,0.01599232912106497
370,0.01566942730735348
380,0.015773374751163298
390,0.015723575010661663
400,0.015720186682893336
410,0.015523500664919606
420,0.015648666485209926
430,0.015631391478592844
440,0.015372556472733747
450,0.015450211334117295
460,0.015603045532826453
470,0.015363917633827457
480,0.015291231167855326
490,0.014952716037589804
500,0.014996985251986518
510,0.014724977552498996
520,0.014877115300595095
530,0.014839091061446848
540,0.014502193814780124
550,0.014766822713871385
560,0.0155367518961543
570,0.015491230542271943
580,0.015472443239553504
590,0.015629966721981213
600,0.015334172416895955
610,0.015334172416895955
620,0.015334172416895955
630,0.015334172416895955
640,0.015334172416895955
650,0.015334172416895955
660,0.015334172416895955
670,0.015334172416895955
680,0.015334172416895955
690,0.015334172416895955
700,0.015334172416895955
710,0.015334172416895955
720,0.015334172416895955
730,0.015334172416895955
740,0.015334172416895955
750,0.015334172416895955
760,0.015334172416895955
770,0.015334172416895955
780,0.015334172416895955
790,0.015334172416895955
800,0.015334172416895955
810,0.015334172416895955
820,0.015334172416895955
830,0.015334172416895955
840,0.015334172416895955
850,0.015334172416895955
860,0.015334172416895955
870,0.015334172416895955
880,0.015334172416895955
890,0.015334172416895955
900,0.015334172416895955
910,0.015334172416895955
920,0.015334172416895955
930,0.015334172416895955
940,0.015334172416895955
950,0.015334172416895955
960,0.015334172416895955
970,0.015334172416895955
980,0.015334172416895955
990,0.015334172416895955
1000,0.015334172416895955
