file_size,total_time_taken,average_time_taken
1,0.03843975067138672,0.03843975067138672
2,0.07656288146972656,0.03828144073486328
3,0.1135702133178711,0.037856737772623696
4,0.15494537353515625,0.03873634338378906
5,0.1817328929901123,0.03634657859802246
6,0.21457600593566895,0.035762667655944824
7,0.25514650344848633,0.0364495004926409
8,0.2881598472595215,0.036019980907440186
9,0.3136634826660156,0.03485149807400174
10,0.3501863479614258,0.035018634796142575
11,0.40361714363098145,0.0366924676028165
12,0.432300329208374,0.036025027434031166
13,0.45813488960266113,0.03524114535405086
14,0.4996764659881592,0.03569117614201137
15,0.5381748676300049,0.035878324508666994
16,0.6124343872070312,0.03827714920043945
17,0.5984697341918945,0.035204102011287916
18,0.6184103488922119,0.034356130494011775
19,0.6631503105163574,0.03490264792191355
20,0.6953592300415039,0.034767961502075194
21,0.7265188694000244,0.0345961366380964
22,0.7863006591796875,0.03574093905362216
23,0.8164935111999512,0.035499717878258744
24,0.8391797542572021,0.03496582309405009
25,0.8582301139831543,0.03432920455932617
26,0.9270853996276855,0.03565713075491098
27,0.9795925617218018,0.03628120598969636
28,0.9913663864135742,0.035405942371913364
29,1.0220990180969238,0.035244793727480135
30,1.063594102859497,0.03545313676198324
31,1.111098051071167,0.03584187261519894
32,1.1392972469329834,0.03560303896665573
33,1.1852290630340576,0.03591603221315326
34,1.1923186779022217,0.03506819640888887
35,1.2569446563720703,0.035912704467773435
36,1.2915058135986328,0.035875161488850914
37,1.3200891017913818,0.03567808383219951
38,1.3613967895507812,0.03582623130396793
39,1.3885858058929443,0.03560476425366524
40,1.4042458534240723,0.03510614633560181
41,1.4588468074798584,0.03558162945072826
42,1.4649333953857422,0.03487936655680338
43,1.528780460357666,0.03555303396180619
44,1.565168857574463,0.035572019490328705
45,1.5776290893554688,0.03505842420789931
46,1.6427028179168701,0.035710930824279785
47,1.6609246730804443,0.03533882283149881
48,1.6771817207336426,0.034941285848617554
49,1.7289280891418457,0.03528424671718052
50,1.793600082397461,0.035872001647949216
51,1.8017544746398926,0.035328519110586126
52,1.8050060272216797,0.03471165436964769
53,1.8549103736877441,0.03499830893750461
54,1.9152889251708984,0.03546831342909071
55,1.9723188877105713,0.03586034341291948
56,1.9741935729980469,0.03525345666067941
57,1.979593276977539,0.03472970661364103
58,2.0240674018859863,0.03489771382562045
59,2.078226089477539,0.035224171008093885
60,2.1253271102905273,0.03542211850484212
61,2.1473019123077393,0.0352016706935695
62,2.155724048614502,0.03476974271958874
63,2.191988945007324,0.03479347531757657
64,2.2838051319122314,0.035684455186128616
65,2.259840488433838,0.034766776745135966
66,2.3347275257110596,0.0353746594804706
67,2.3877928256988525,0.03563869889102765
68,2.389570474624634,0.035140742273891676
69,2.438732624053955,0.03534395107324573
70,2.527958869934082,0.03611369814191546
71,2.5309464931488037,0.03564713370632118
72,2.54954195022583,0.03541030486424764
73,2.5628321170806885,0.035107289275077926
74,2.577583074569702,0.03483220371040138
75,2.6774675846099854,0.035699567794799804
76,2.696176528930664,0.035476006959614004
77,2.741264820098877,0.035600841819465934
78,2.73382306098938,0.035049013602427945
79,2.742845058441162,0.03471955770178686
80,2.8413894176483154,0.035517367720603946
81,2.856274127960205,0.03526264355506426
82,2.8604931831359863,0.03488406320897544
83,2.9552464485168457,0.03560537889779332
84,2.95975923538208,0.03523522899264381
85,3.0255448818206787,0.03559464566847857
86,3.0502028465270996,0.03546747495961744
87,3.1378896236419678,0.03606769682347089
88,3.086911201477051,0.03507853638042103
89,3.1690261363983154,0.03560703524043051
90,3.21734619140625,0.035748291015625
91,3.237592935562134,0.035577944346836636
92,3.214587450027466,0.034941167935081154
93,3.240471839904785,0.03484378322478263
94,3.338045835494995,0.03551112590952123
95,3.367318630218506,0.03544545926545796
96,3.401560068130493,0.035432917376359306
97,3.3878822326660156,0.034926620955319745
98,3.4111242294311523,0.03480739009623625
99,3.5692200660705566,0.03605272794010663
100,3.490142345428467,0.034901423454284666
101,3.548072576522827,0.03512943145072106
102,3.6197028160095215,0.03548728250989727
103,3.6340060234069824,0.03528161187773769
104,3.696592092514038,0.0355441547357119
105,3.6732771396636963,0.034983591806320914
106,3.7652816772460938,0.03552152525703862
107,3.7400999069213867,0.03495420473758305
108,3.7814137935638428,0.03501309068114669
109,3.7929720878601074,0.03479790906293677
110,3.8590006828308105,0.035081824389371005
111,3.9140424728393555,0.03526164389945365
112,3.9510014057159424,0.035276798265320916
113,3.9960341453552246,0.03536313402969225
114,3.983555555343628,0.034943469783716034
115,3.989335536956787,0.034689874234406844
116,4.042534589767456,0.03484943611868497
117,4.091769456863403,0.03497238852020003
118,4.120294809341431,0.03491775262153755
119,4.147001266479492,0.034848750138483126
120,4.178668022155762,0.03482223351796468
121,4.285639047622681,0.035418504525807276
122,4.299322128295898,0.03524034531390081
123,4.341736316680908,0.03529866924130819
