n,Robustness score
10,0.2
20,0.1060744868832557
30,0.07315462122966881
40,0.06396207377121137
50,0.049807014149004486
60,0.046620735675107515
70,0.04448542795375372
80,0.039915230964962724
90,0.03668823126609797
100,0.03420256481013705
110,0.0311171967178666
120,0.028196501965219063
130,0.025702580230108095
140,0.024520668600631693
150,0.022597428964375405
160,0.02139382494490392
170,0.020364196310633555
180,0.020509064138317712
190,0.021879238273651992
200,0.02135192469827195
210,0.02165860060781434
220,0.021582652327301544
230,0.021520532850142812
240,0.020550621781343058
250,0.020082557645992608
260,0.0200522485624434
270,0.01952453756213373
280,0.019055428920965393
290,0.018234052218662873
300,0.01787467580285093
310,0.01748095502873536
320,0.01723193406274432
330,0.017442352513840107
340,0.01683491632578795
350,0.016325206345581555
360,0.016451592587396875
370,0.016587314789407774
380,0.016379864748537903
390,0.016092001456038615
400,0.015509577374664189
410,0.015432363444450004
420,0.015618976705834915
430,0.01640121194302816
440,0.016133113338233022
450,0.01605327905960984
460,0.016020664178439083
470,0.015571389840782428
480,0.01562420951391686
490,0.015561375324578386
500,0.015554859351345356
510,0.015492149289192876
520,0.015107640191317688
530,0.015076793952596462
540,0.015133141794508665
550,0.014703777880527976
560,0.014944379037573494
570,0.015142705429854715
580,0.01506214219077454
590,0.014975182812107135
600,0.01526191908796606
610,0.01495282112583537
620,0.014786606239157537
630,0.014720454725096217
640,0.014891365140006437
650,0.015181657856167825
660,0.015287518270372554
670,0.015238178301350044
680,0.015591892243419362
690,0.015306611992256856
700,0.015211585469670346
710,0.01510784928399298
720,0.01526324092639382
730,0.015011889477988205
740,0.015344813386142886
750,0.015284667891878503
760,0.015384691645484285
770,0.015466764358817199
780,0.015261950693893803
790,0.01520344779800158
800,0.014983049084313006
810,0.015071521543386401
820,0.01514777126230822
830,0.01512383497861198
840,0.01512383497861198
850,0.01512383497861198
860,0.01512383497861198
870,0.01512383497861198
880,0.01512383497861198
890,0.01512383497861198
900,0.01512383497861198
910,0.01512383497861198
920,0.01512383497861198
930,0.01512383497861198
940,0.01512383497861198
950,0.01512383497861198
960,0.01512383497861198
970,0.01512383497861198
980,0.01512383497861198
990,0.01512383497861198
1000,0.01512383497861198
